date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:46	166280/166280	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Dec%202022%2000:28:38%20GMT	https://img.drxtv.pw/mastersp2.jpeg	C:/Users/Administrador/Downloads/Apps%20store/img.drxtv.pw/mastersp2.jpg	(from https://baixarapp.brstore.site/)
11:46:46	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%2215851-5afe7b07f6b40-gzip%22	https://manager.brstore.site/assets/vendor/jquery/jquery.min.js	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/jquery/jquery.min.js	(from https://baixarapp.brstore.site/)
11:46:46	80698/80698	---M-Z	200	added ('OK')	application/javascript	etag:%2213b3a-5afe7b051a480-gzip%22	https://manager.brstore.site/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://baixarapp.brstore.site/)
11:46:47	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-5afe7b1368640-gzip%22	https://manager.brstore.site/assets/vendor/wowjs/wow.min.js	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/wowjs/wow.min.js	(from https://baixarapp.brstore.site/)
11:46:48	6652/6652	---M-Z	200	added ('OK')	application/javascript	etag:%2219fc-5afe7afe6d4c0-gzip%22	https://manager.brstore.site/assets/js/main.js	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/js/main.js	(from https://baixarapp.brstore.site/)
11:46:48	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-5afe7b0cbb680%22	https://manager.brstore.site/assets/vendor/slick/ajax-loader.gif	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/ajax-loader.gif	(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
11:46:49	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-5afe7b0daf8c0%22	https://manager.brstore.site/assets/vendor/slick/fonts/slick.eot	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/fonts/slick.eot	(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
11:46:49	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-5afe7b0daf8c0%22	https://manager.brstore.site/assets/vendor/slick/fonts/slick.eot?	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/fonts/slickd41d.eot	(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
11:46:49	1380/1380	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22564-5afe7b0f97d40%22	https://manager.brstore.site/assets/vendor/slick/fonts/slick.woff	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/fonts/slick.woff	(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
11:46:49	1892/1892	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22764-5afe7b0ea3b00%22	https://manager.brstore.site/assets/vendor/slick/fonts/slick.ttf	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/fonts/slick.ttf	(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
11:46:50	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22868-5afe7b0daf8c0%22	https://manager.brstore.site/assets/vendor/slick/fonts/slick.svg	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/vendor/slick/fonts/slick.svg	(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
